birth_date,terms_conditions,date_exp_token,type_independent_activity_id,incomes,extra_incomes,familiar_debts,is_tax_return,region_id,name,name.1,viability,is_selected
1998-05-30,1,2022-11-25 23:13:29.0,1,1500000,700000,0,0,26.0,"wholesale and retail, auto repair",employee,1,0
1984-07-08,0,2023-01-16 18:16:50.0,1,4781830,0,0,1,1.0,"wholesale and retail, auto repair",employee,1,1
1985-02-14,0,,1,9000000,1000000,0,1,11.0,"wholesale and retail, auto repair",employee,1,1
1997-01-09,0,,1,8000000,0,0,1,,"wholesale and retail, auto repair",employee,1,1
1997-01-09,1,2023-01-23 16:34:06.0,1,9000000,1000000,1000000,1,1.0,"wholesale and retail, auto repair",employee,1,1
1970-09-16,1,2023-03-08 16:25:17.0,1,15000000,0,0,1,13.0,"wholesale and retail, auto repair",employee,0,0
1998-03-02,1,2023-04-05 17:05:16.0,1,20000000,0,1000000,1,1.0,"wholesale and retail, auto repair",employee,0,0
1962-03-18,0,,1,7900000,18000000,300000,1,1.0,"wholesale and retail, auto repair",retired,1,1
,1,,1,10000000,0,0,0,,"wholesale and retail, auto repair",independent,0,0
,1,,1,2000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
,1,,1,13000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
,1,,1,10300000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
,1,,1,4000000,0,0,0,,"wholesale and retail, auto repair",independent,0,0
,1,,1,2800000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1969-09-11,1,,1,9600000,0,0,1,,"wholesale and retail, auto repair",independent,0,1
1974-09-08,1,,1,20000000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1988-02-25,1,,1,13900000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1991-03-12,1,,1,9000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1995-07-17,1,,1,5317167,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1962-03-27,1,,1,15000000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1994-10-15,1,,1,12000000,0,200000,0,,"wholesale and retail, auto repair",independent,1,1
1963-02-19,1,,1,10572067,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1977-11-06,1,,1,10600000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1984-04-21,1,,1,3700000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1982-04-22,1,,1,16650000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1989-07-03,1,,1,3000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1982-04-28,1,,1,13000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1982-03-05,1,,1,40000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1970-03-19,1,,1,5000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1962-03-21,1,,1,15000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1954-03-27,1,,1,15000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1998-04-21,1,,1,2500000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1989-01-04,1,,1,25000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1990-01-20,1,,1,2800000,0,1000000,0,13.0,"wholesale and retail, auto repair",independent,1,1
1981-10-11,1,,1,5000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1969-04-28,1,,1,21249948,0,21249948,1,,"wholesale and retail, auto repair",independent,1,0
1985-09-03,1,,1,4500000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1986-10-19,1,,1,12000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1989-06-19,1,,1,33600000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1973-06-07,1,,1,10000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1992-10-06,1,,1,5000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1979-09-18,1,,1,5000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1977-03-18,1,,1,8000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1976-08-07,1,,1,39000000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1997-07-14,1,,1,12000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1983-05-21,1,,1,2500000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1980-05-20,1,,1,20000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1967-10-03,1,,1,2300000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1962-09-20,1,,1,3800000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1973-08-05,1,,1,3000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1978-01-31,1,,1,6000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1971-01-21,1,,1,2000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1977-03-30,1,,1,10000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1996-10-25,1,,1,30000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1989-03-11,1,,1,5000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1995-07-29,1,,1,4000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1975-11-22,1,,1,10000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1983-02-03,1,,1,12000000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1973-01-02,1,,1,5000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1990-04-30,1,,1,2000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1981-03-03,1,,1,5900000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1998-08-27,1,,1,5500000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1986-11-04,1,,1,4000000,0,0,0,,"wholesale and retail, auto repair",independent,1,0
1977-05-18,1,,1,9000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1995-04-23,1,,1,10000000,0,500000,1,,"wholesale and retail, auto repair",independent,1,0
1980-01-22,1,,1,9500000,500000,0,1,13.0,"wholesale and retail, auto repair",independent,0,1
1996-04-07,1,,1,3300000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1991-12-15,1,,1,12500000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1982-11-05,1,,1,4000000,0,100000,0,1.0,"wholesale and retail, auto repair",independent,1,0
1963-03-17,1,,1,75000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1965-07-24,1,,1,7000000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1980-05-15,1,,1,9205656,0,300000,1,,"wholesale and retail, auto repair",independent,1,0
1993-10-19,1,,1,4000000,0,0,0,,"wholesale and retail, auto repair",independent,1,1
1968-04-29,1,,1,10000000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1988-11-15,1,,1,30000000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1982-12-14,1,,1,4000000,0,0,0,,"wholesale and retail, auto repair",independent,0,0
1989-11-29,1,,1,20000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1981-06-18,1,,1,10700000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1982-12-14,1,,1,4800000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1979-05-13,1,,1,15000000,0,1500000,1,,"wholesale and retail, auto repair",independent,1,0
1981-06-12,1,,1,5000000,0,0,1,,"wholesale and retail, auto repair",independent,1,1
1985-11-18,1,,1,5000000,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1993-08-01,1,,1,22000000,0,2000000,1,,"wholesale and retail, auto repair",independent,0,0
1993-03-16,1,,1,2147483647,0,0,1,,"wholesale and retail, auto repair",independent,1,0
1986-07-22,1,,1,30000000,0,0,1,,"wholesale and retail, auto repair",independent,0,0
1985-11-29,1,,1,13016061,0,600000,0,1.0,"wholesale and retail, auto repair",independent,1,1
1970-06-14,1,,1,20000000,0,0,0,2.0,"wholesale and retail, auto repair",independent,0,0
1986-03-05,1,,1,17300000,0,1300000,1,1.0,"wholesale and retail, auto repair",independent,1,1
2001-12-20,1,,1,3800000,0,0,0,12.0,"wholesale and retail, auto repair",independent,1,0
1977-10-15,1,2023-04-28 02:51:48.0,1,100000000,0,190000000,1,1.0,"wholesale and retail, auto repair",independent,1,1
1989-01-22,0,,1,12000000,0,200000,1,,"wholesale and retail, auto repair",independent,1,1
1992-07-16,1,,1,7000000,0,1000000,1,13.0,"wholesale and retail, auto repair",independent,1,1
1992-12-08,1,,1,15000000,0,0,1,1.0,"wholesale and retail, auto repair",independent,1,0
1986-07-06,0,,1,12000000,0,300000,0,,"wholesale and retail, auto repair",independent,1,1
1996-03-13,1,,1,25000000,0,0,1,2.0,"wholesale and retail, auto repair",independent,1,0
1969-04-12,1,,1,30000000,0,0,0,1.0,"wholesale and retail, auto repair",independent,1,0
1994-10-21,1,,1,33000000,0,100000,1,2.0,"wholesale and retail, auto repair",independent,0,0
1983-02-23,1,,1,90000000,0,500000,1,1.0,"wholesale and retail, auto repair",independent,0,0
1975-06-24,1,,1,7000000,0,0,1,13.0,"wholesale and retail, auto repair",independent,1,0
1981-08-31,1,,1,10000000,0,0,1,1.0,"wholesale and retail, auto repair",independent,1,0
1981-08-06,1,,1,5000000,0,0,1,1.0,"wholesale and retail, auto repair",independent,1,0
1993-05-22,1,,1,4000000,0,0,0,13.0,"wholesale and retail, auto repair",independent,0,0
1982-06-18,0,,1,12000000,0,12000000,0,,"wholesale and retail, auto repair",independent,1,1
1980-03-17,1,,1,100000000,0,0,1,2.0,"wholesale and retail, auto repair",independent,1,0
1985-07-03,1,,1,3325000,0,0,1,13.0,"wholesale and retail, auto repair",independent,0,0
1988-08-24,1,,1,42000000,0,2000000,1,13.0,"wholesale and retail, auto repair",independent,1,1
1983-04-15,0,,1,90000000,0,500000,1,,"wholesale and retail, auto repair",independent,1,1
1984-04-09,0,,1,35000000,0,500000,1,,"wholesale and retail, auto repair",independent,1,1
1964-08-07,1,2022-10-12 12:29:10.0,1,30000000,0,500000,1,1.0,"wholesale and retail, auto repair",independent,1,0
1977-07-18,0,,1,26000000,0,250000,1,,"wholesale and retail, auto repair",independent,0,0
1971-04-27,1,2022-10-12 22:15:45.0,1,10000000,0,0,1,28.0,"wholesale and retail, auto repair",independent,1,0
1982-11-13,0,,1,16000000,0,250000,0,,"wholesale and retail, auto repair",independent,1,1
2000-02-26,1,2022-10-13 22:04:25.0,1,1800000,0,0,1,26.0,"wholesale and retail, auto repair",independent,1,0
1988-08-26,0,,1,17000000,0,500000,1,,"wholesale and retail, auto repair",independent,1,1
1979-07-20,0,,1,126000000,0,300000,1,,"wholesale and retail, auto repair",independent,1,1
1965-10-30,0,,1,27000000,0,27000000,1,,"wholesale and retail, auto repair",independent,1,1
1992-09-26,1,,1,5000000,0,0,1,26.0,"wholesale and retail, auto repair",independent,0,0
1980-03-10,0,,1,23150000,0,500000,1,,"wholesale and retail, auto repair",independent,1,1
1968-10-28,1,2022-10-19 14:51:24.0,1,25000000,0,0,1,1.0,"wholesale and retail, auto repair",independent,1,0
1968-12-31,1,2022-10-19 20:08:46.0,1,540000000,0,0,1,12.0,"wholesale and retail, auto repair",independent,1,0
1966-10-13,0,,1,19458096,0,250000,1,,"wholesale and retail, auto repair",independent,1,1
